766192484,2
766192485,2
766192486,0
766192487,1
766192488,2
766192489,1
766192490,2
766192491,1
766192492,2
766192493,2
766192494,2
766192495,2
766192496,1
766192497,2
766192498,1
766192499,1
766192500,1
766192501,2
766192502,0
766192503,2
766192504,2
766192505,0
766192506,2
766192507,1
766192508,2
766192509,2
766192510,1
766192511,2
766192512,2
766192513,2
766192514,2
766192515,2
766192516,2
766192517,2
766192518,1
766192519,2
766192520,2
766192521,0
766192522,1
766192523,1
766192524,2
766192525,1
766192526,2
766192527,2
766192528,2
766192529,1
766192530,2
766192531,2
766192532,2
766192533,1
766192534,1
766192535,2
766192536,2
766192537,2
766192538,0
766192539,2
766192540,1
766192541,2
766192542,2
766192543,2
766192544,2
766192545,2
766192546,2
766192547,2
766192548,1
766192549,2
766192550,2
766192551,2
766192552,2
766192553,2
766192554,2
766192555,1
766192556,2
766192557,2
766192558,1
766192559,1
766192560,2
766192561,1
766192562,2
766192563,1
766192564,2
766192565,2
766192566,2
766192567,2
766192568,2
766192569,2
766192570,2
766192571,2
766192572,2
766192573,1
766192574,2
766192575,2
766192576,2
766192577,2
766192578,2
766192579,1
766192580,0
766192581,2
766192582,2
766192583,2
766192585,1
766192586,2
766192587,0
766192588,2
766192589,2
766192590,2
766192591,1
766192592,1
766192593,2
766192594,1
766192595,2
766192596,2
766192597,2
766192598,2
766192599,2
766192600,0
766192601,2
766192602,2
766192603,1
766192604,2
766192605,2
766192606,2
766192607,2
766192608,2
766192609,1
766192610,1
766192611,2
766192612,2
766192613,2
766192614,1
766192615,2
766192616,2
766192617,1
766192618,1
766192619,1
766192620,2
766192621,1
766192622,1
766192623,2
766192624,2
766192625,2
766192626,1
766192627,2
766192628,1
766192629,2
766192630,1
766192631,0
766192632,2
766192633,0
766192634,2
766192635,2
766192636,2
766192637,2
766192638,2
766192639,1
766192640,1
766192641,1
766192642,2
766192643,2
766192644,1
766192645,2
766192646,1
766192647,2
766192648,2
766192649,2
766192650,2
766192651,0
766192652,1
766192653,1
766192654,1
766192655,2
766192656,2
766192657,2
766192658,2
766192659,2
766192660,1
766192661,1
766192662,2
766192663,2
766192664,0
766192665,1
766192666,2
766192667,1
766192668,2
766192669,2
766192670,2
766192671,1
766192672,0
766192673,2
766192674,2
766192675,1
766192676,1
766192677,2
766192678,2
766192679,2
766192680,2
766192681,2
766192682,1
766192683,2
766192684,2
766192685,2
766192686,2
766192687,2
766192688,1
766192689,2
766192690,2
766192691,1
766192692,2
766192693,2
766192694,2
766192695,2
766192696,0
766192697,2
766192698,1
766192699,1
766192700,2
766192701,0
766192702,2
766192703,2
766192704,2
766192705,2
766192706,1
766192707,2
766192708,2
766192709,1
766192710,0
766192711,1
766192712,2
766192713,2
766192714,1
766192715,1
766192716,2
766192717,2
766192718,2
766192719,1
766192720,2
766192721,2
766192722,0
766192723,1
766192724,1
766192725,2
766192726,2
766192727,2
766192728,2
766192729,1
766192730,2
766192731,2
766192732,1
766192733,1
766192734,2
766192735,1
766192736,2
766192737,0
766192738,1
766192739,2
766192740,2
766192741,2
766192742,2
766192743,2
766192744,1
766192745,2
766192746,1
766192747,0
766192748,2
766192749,2
766192750,2
766192751,1
766192752,2
766192753,2
766192754,1
766192755,2
766192756,2
766192757,1
766192758,2
766192759,2
766192760,1
766192761,1
766192762,2
766192763,2
766192764,2
766192765,2
766192766,2
766192767,2
766192768,2
766192769,1
766192770,2
766192771,2
766192772,2
766192773,2
766192774,1
766192775,2
766192776,0
766192777,1
766192778,2
766192779,2
766192780,2
766192781,1
766192782,2
766192783,2
766192784,2
766192785,1
766192786,1
766192787,2
766192788,1
766192789,2
766192790,1
766192791,2
766192792,1
766192793,2
766192794,2
766192795,1
766192796,1
766192797,2
766192798,2
766192799,1
766192800,2
766192801,1
766192802,2
766192803,2
766192804,2
766192805,1
766192806,1
766192807,2
766192808,2
766192809,2
766192810,2
766192811,1
766192812,2
766192813,1
766192814,2
766192815,2
766192816,2
766192817,2
766192818,2
766192819,2
